DATE,SPCS20RSA
2018-09-01,213.00345191332698
2018-10-01,213.70036544786498
2018-11-01,214.11599209834202
2018-12-01,214.446656568647
2019-01-01,214.512797331329
2019-02-01,214.57148314696
2019-03-01,214.319200429697
2019-04-01,214.657513692693
2019-05-01,215.15328827195302
2019-06-01,215.64602246723203
2019-07-01,216.13578131403
2019-08-01,216.75430864508598
2019-09-01,217.62364894216597
2019-10-01,218.690791559888
2019-11-01,219.756657058029
2019-12-01,220.749066755169
2020-01-01,221.37692373003503
2020-02-01,222.133982608493
2020-03-01,222.44500590130298
2020-04-01,222.590289790135
2020-05-01,222.53090157497897
2020-06-01,222.98423222905498
2020-07-01,225.120718641097
2020-08-01,228.60522906421397
2020-09-01,232.43799564724702
2020-10-01,236.63705678851503
2020-11-01,240.25592312630002
2020-12-01,243.525521715363
2021-01-01,246.428715644319
2021-02-01,249.17968597409902
2021-03-01,252.33489307264
2021-04-01,256.030830737561
2021-05-01,260.570827595559
2021-06-01,265.570432242862
2021-07-01,270.08907865658904
2021-08-01,273.675803816723
2021-09-01,276.99517163847196
2021-10-01,280.584617804062
2021-11-01,284.362964629039
2021-12-01,288.768527796031
2022-01-01,293.440785547999
2022-02-01,299.884793851461
2022-03-01,305.757569374165
2022-04-01,310.26014428541197
2022-05-01,313.746825087845
2022-06-01,314.910460867337
2022-07-01,313.323344189377
2022-08-01,309.726993378199
2022-09-01,306.266174964778
2022-10-01,305.328584138592
2022-11-01,304.231371974136
2022-12-01,302.763198846263
2023-01-01,301.674599906431
2023-02-01,301.525351468505
2023-03-01,302.510685871028
2023-04-01,304.945178424775
2023-05-01,308.133764089072
2023-06-01,310.938140687795
2023-07-01,313.65551408538397
